beast,0.845825
blastn,0.497365
gunzip,0.054116
muscle,1.330236
nhmmer,0.621253
phyml,1.401768
prokka,0.112731
snippy,0.727940
velvetg,1.191412
velveth,1.062123
geometric mean,0.554311

beast,,,,,,,,,,,,,avg,stdev,min,max
Swaps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
File system inputs,44560.0,44560.0,44560.0,44560.0,44560.0,44560.0,44560.0,44560.0,44560.0,44560.0,44560.0,,44560.0,0.0,44560.0,44560.0
File system outputs,1355608.0,1355608.0,1355600.0,1355608.0,1355600.0,1355608.0,1355608.0,1355608.0,1355608.0,1355608.0,1355624.0,,1355608.0,6.196773353931867,1355600.0,1355624.0
Socket messages sent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Socket messages received,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Signals delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Page size (bytes),4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,,4096.0,0.0,4096.0,4096.0
Exit status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Submission date and time,  2015-07-24 00:40:25,  2015-07-24 01:43:34,  2015-07-24 02:47:15,  2015-07-24 03:51:30,  2015-07-24 04:57:59,  2015-07-24 06:06:45,  2015-07-24 07:24:35,  2015-07-24 08:35:55,  2015-07-24 09:52:03,  2015-07-24 11:10:07,  2015-07-24 11:53:52

gunzip,,,,,,,,,,,,,avg,stdev,min,max
User time (seconds),12.14,17.37,18.29,18.32,17.54,18.17,19.92,18.72,19.18,18.91,14.77,,17.575454545454548,2.2369414996211394,12.14,19.92
System time (seconds),1.31,1.86,2.02,1.87,2.0,2.14,2.08,1.99,2.03,2.21,1.65,,1.9236363636363636,0.2534668707059259,1.31,2.21
Fraction of CPU this job got,0.59,0.12,0.07,0.08,0.08,0.05,0.04,0.05,0.03,0.04,0.12,,0.11545454545454546,0.16033487682744738,0.03,0.59
Elapsed (wall clock) time in seconds,22.58,154.84,286.52,248.8,233.49,392.31,543.3,348.22,532.34,507.66,133.47,,309.41181818181815,172.96346248952014,22.58,543.3
Average shared text size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Average unshared data size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Average stack size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Average total size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Maximum resident set size (kbytes),1452.0,1448.0,1448.0,1448.0,1448.0,1448.0,1452.0,1448.0,1452.0,1452.0,1452.0,,1449.8181818181818,2.088931871468374,1448.0,1452.0
Average resident set size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Major (requiring I/O) page faults,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Minor (reclaiming a frame) page faults,1459.0,1457.0,1459.0,1459.0,1458.0,1458.0,1460.0,1460.0,1461.0,1462.0,1461.0,,1459.4545454545455,1.5075567228888183,1457.0,1462.0
Voluntary context switches,231.0,603.0,714.0,695.0,685.0,821.0,1130.0,784.0,917.0,1019.0,477.0,,734.1818181818181,249.42727123625363,231.0,1130.0
Involuntary context switches,108.0,258.0,404.0,324.0,324.0,471.0,587.0,363.0,292.0,479.0,191.0,,345.54545454545456,136.87319944851413,108.0,587.0
Swaps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
File system inputs,931264.0,931272.0,931272.0,931272.0,931272.0,931272.0,931272.0,931272.0,931272.0,931264.0,931264.0,,931269.8181818182,3.7367949319753104,931264.0,931272.0
File system outputs,2545568.0,2545568.0,2545568.0,2545568.0,2545568.0,2545568.0,2545568.0,2545568.0,2545568.0,2545568.0,2545568.0,,2545568.0,0.0,2545568.0,2545568.0
Socket messages sent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Socket messages received,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Signals delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Page size (bytes),4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,,4096.0,0.0,4096.0,4096.0
Exit status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Submission date and time,  2015-07-23 23:56:02,  2015-07-24 00:53:30,  2015-07-24 02:01:03,  2015-07-24 03:03:48,  2015-07-24 04:07:38,  2015-07-24 05:17:25,  2015-07-24 06:29:01,  2015-07-24 07:42:55,  2015-07-24 08:58:01,  2015-07-24 10:14:58,  2015-07-24 11:25:30

