../dependencies/beast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avg,stdev,min,max
Major (requiring I/O) page faults,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0,0.0,8.0,8.0
Minor (reclaiming a frame) page faults,38581.0,31654.0,31509.0,34708.0,41128.0,39474.0,44185.0,34568.0,34680.0,33274.0,30732.0,38834.0,40028.0,29276.0,43143.0,34286.0,35546.0,40264.0,41334.0,38532.0,34179.0,41579.0,34042.0,38262.0,33037.0,33686.0,35303.0,34060.0,32103.0,36186.0,42058.0,40133.0,38581.0,31654.0,31509.0,34708.0,41128.0,39474.0,44185.0,34568.0,34680.0,33274.0,30732.0,38834.0,40028.0,29276.0,43143.0,34286.0,35546.0,40264.0,41334.0,38532.0,34179.0,41579.0,34042.0,38262.0,33037.0,33686.0,35303.0,34060.0,32103.0,36186.0,42058.0,40133.0,38630.0,43794.0,39121.0,37193.0,35452.0,39285.0,38973.0,37592.0,,36816.22222222222,3848.6925024078982,29276.0,44185.0
Voluntary context switches,2945461.0,2653754.0,2932856.0,2646310.0,2724868.0,3019329.0,2663386.0,2755492.0,2838465.0,2700644.0,2765952.0,3157440.0,2963688.0,2966191.0,2649009.0,3033480.0,2882767.0,2623156.0,2943444.0,2901131.0,2871555.0,2934509.0,2816229.0,2844658.0,2949259.0,2784173.0,2770505.0,2796958.0,3202580.0,2887054.0,2748782.0,2598823.0,2945461.0,2653754.0,2932856.0,2646310.0,2724868.0,3019329.0,2663386.0,2755492.0,2838465.0,2700644.0,2765952.0,3157440.0,2963688.0,2966191.0,2649009.0,3033480.0,2882767.0,2623156.0,2943444.0,2901131.0,2871555.0,2934509.0,2816229.0,2844658.0,2949259.0,2784173.0,2770505.0,2796958.0,3202580.0,2887054.0,2748782.0,2598823.0,2977228.0,2633777.0,2691096.0,2587321.0,2735180.0,2709458.0,2640503.0,2741375.0,,2828607.6944444445,151052.93238106772,2587321.0,3202580.0
Involuntary context switches,591252.0,284982.0,567920.0,154502.0,407316.0,739885.0,310983.0,398779.0,489188.0,300930.0,387602.0,692781.0,624612.0,557839.0,223907.0,602878.0,416799.0,236961.0,573845.0,538081.0,426792.0,526711.0,393777.0,408440.0,602497.0,404984.0,407783.0,387547.0,962301.0,511669.0,304900.0,192700.0,591252.0,284982.0,567920.0,154502.0,407316.0,739885.0,310983.0,398779.0,489188.0,300930.0,387602.0,692781.0,624612.0,557839.0,223907.0,602878.0,416799.0,236961.0,573845.0,538081.0,426792.0,526711.0,393777.0,408440.0,602497.0,404984.0,407783.0,387547.0,962301.0,511669.0,304900.0,192700.0,568256.0,339329.0,282603.0,198989.0,331023.0,228738.0,244061.0,379098.0,,442144.2083333333,170869.36528450798,154502.0,962301.0
Swaps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
File system inputs,21896.0,21904.0,21896.0,21896.0,21896.0,21896.0,21896.0,21896.0,21896.0,21896.0,21896.0,21896.0,21896.0,21896.0,21896.0,21896.0,21896.0,21896.0,21912.0,21896.0,21904.0,21904.0,21896.0,21896.0,21904.0,21896.0,21904.0,21896.0,21896.0,21904.0,21896.0,21896.0,21896.0,21904.0,21896.0,21896.0,21896.0,21896.0,21896.0,21896.0,21896.0,21896.0,21896.0,21896.0,21896.0,21896.0,21896.0,21896.0,21896.0,21896.0,21912.0,21896.0,21904.0,21904.0,21896.0,21896.0,21904.0,21896.0,21904.0,21896.0,21896.0,21904.0,21896.0,21896.0,21896.0,21896.0,21896.0,21912.0,21896.0,21912.0,21896.0,21896.0,,21898.222222222223,4.497956413037339,21896.0,21912.0
File system outputs,14080.0,14136.0,14016.0,13896.0,14072.0,14064.0,14000.0,14008.0,13896.0,14016.0,14192.0,14192.0,14072.0,14248.0,13832.0,14392.0,14000.0,14136.0,13944.0,14192.0,14104.0,13896.0,14144.0,14088.0,14072.0,14192.0,14240.0,14344.0,14080.0,14016.0,14080.0,13880.0,14080.0,14136.0,14016.0,13896.0,14072.0,14064.0,14000.0,14008.0,13896.0,14016.0,14192.0,14192.0,14072.0,14248.0,13832.0,14392.0,14000.0,14136.0,13944.0,14192.0,14104.0,13896.0,14144.0,14088.0,14072.0,14192.0,14240.0,14344.0,14080.0,14016.0,14080.0,13880.0,13888.0,14016.0,14152.0,13960.0,14136.0,13896.0,13872.0,13960.0,,14068.333333333334,130.76546040068388,13832.0,14392.0
Socket messages sent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Socket messages received,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Signals delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
